"state","period","count"
"Australian Capital Territory","Before 1951",0
"Australian Capital Territory","1951 - 1960",0
"Australian Capital Territory","1961 - 1970",6
"Australian Capital Territory","1971 - 1980",22
"Australian Capital Territory","1981 - 1990",123
"Australian Capital Territory","1991 - 2000",122
"Australian Capital Territory","2001 - 2010",219
"Australian Capital Territory","2011 - 2015",334
"Australian Capital Territory","Arrived 2016",38
"Australian Capital Territory","Arrived 2017",49
"Australian Capital Territory","Arrived 2018",50
"Australian Capital Territory","Arrived 2019",70
"Australian Capital Territory","Arrived 2020",45
"Australian Capital Territory","Arrived 2021",12
"New South Wales","Before 1951",12
"New South Wales","1951 - 1960",14
"New South Wales","1961 - 1970",300
"New South Wales","1971 - 1980",1054
"New South Wales","1981 - 1990",3562
"New South Wales","1991 - 2000",3507
"New South Wales","2001 - 2010",5867
"New South Wales","2011 - 2015",7865
"New South Wales","Arrived 2016",964
"New South Wales","Arrived 2017",1081
"New South Wales","Arrived 2018",883
"New South Wales","Arrived 2019",1158
"New South Wales","Arrived 2020",484
"New South Wales","Arrived 2021",214
"Northern Territory","Before 1951",4
"Northern Territory","1951 - 1960",0
"Northern Territory","1961 - 1970",0
"Northern Territory","1971 - 1980",0
"Northern Territory","1981 - 1990",7
"Northern Territory","1991 - 2000",12
"Northern Territory","2001 - 2010",29
"Northern Territory","2011 - 2015",34
"Northern Territory","Arrived 2016",3
"Northern Territory","Arrived 2017",0
"Northern Territory","Arrived 2018",7
"Northern Territory","Arrived 2019",11
"Northern Territory","Arrived 2020",0
"Northern Territory","Arrived 2021",0
"Other Territories","Before 1951",0
"Other Territories","1951 - 1960",0
"Other Territories","1961 - 1970",0
"Other Territories","1971 - 1980",0
"Other Territories","1981 - 1990",0
"Other Territories","1991 - 2000",0
"Other Territories","2001 - 2010",0
"Other Territories","2011 - 2015",0
"Other Territories","Arrived 2016",0
"Other Territories","Arrived 2017",0
"Other Territories","Arrived 2018",0
"Other Territories","Arrived 2019",0
"Other Territories","Arrived 2020",0
"Other Territories","Arrived 2021",0
"Queensland","Before 1951",3
"Queensland","1951 - 1960",21
"Queensland","1961 - 1970",40
"Queensland","1971 - 1980",124
"Queensland","1981 - 1990",548
"Queensland","1991 - 2000",520
"Queensland","2001 - 2010",1925
"Queensland","2011 - 2015",2937
"Queensland","Arrived 2016",352
"Queensland","Arrived 2017",369
"Queensland","Arrived 2018",361
"Queensland","Arrived 2019",416
"Queensland","Arrived 2020",156
"Queensland","Arrived 2021",94
"South Australia","Before 1951",3
"South Australia","1951 - 1960",8
"South Australia","1961 - 1970",13
"South Australia","1971 - 1980",31
"South Australia","1981 - 1990",400
"South Australia","1991 - 2000",527
"South Australia","2001 - 2010",1093
"South Australia","2011 - 2015",1797
"South Australia","Arrived 2016",245
"South Australia","Arrived 2017",254
"South Australia","Arrived 2018",231
"South Australia","Arrived 2019",385
"South Australia","Arrived 2020",105
"South Australia","Arrived 2021",44
"Tasmania","Before 1951",0
"Tasmania","1951 - 1960",0
"Tasmania","1961 - 1970",4
"Tasmania","1971 - 1980",3
"Tasmania","1981 - 1990",29
"Tasmania","1991 - 2000",24
"Tasmania","2001 - 2010",52
"Tasmania","2011 - 2015",185
"Tasmania","Arrived 2016",82
"Tasmania","Arrived 2017",73
"Tasmania","Arrived 2018",15
"Tasmania","Arrived 2019",44
"Tasmania","Arrived 2020",24
"Tasmania","Arrived 2021",0
"Victoria","Before 1951",11
"Victoria","1951 - 1960",15
"Victoria","1961 - 1970",80
"Victoria","1971 - 1980",247
"Victoria","1981 - 1990",1450
"Victoria","1991 - 2000",1275
"Victoria","2001 - 2010",4254
"Victoria","2011 - 2015",9253
"Victoria","Arrived 2016",1111
"Victoria","Arrived 2017",1097
"Victoria","Arrived 2018",1010
"Victoria","Arrived 2019",1111
"Victoria","Arrived 2020",371
"Victoria","Arrived 2021",309
"Western Australia","Before 1951",8
"Western Australia","1951 - 1960",4
"Western Australia","1961 - 1970",8
"Western Australia","1971 - 1980",67
"Western Australia","1981 - 1990",709
"Western Australia","1991 - 2000",697
"Western Australia","2001 - 2010",1528
"Western Australia","2011 - 2015",2216
"Western Australia","Arrived 2016",234
"Western Australia","Arrived 2017",198
"Western Australia","Arrived 2018",233
"Western Australia","Arrived 2019",293
"Western Australia","Arrived 2020",92
"Western Australia","Arrived 2021",53
