age_group,income_band,count,pct
25-34,CA$100k+,2036.9747261764942,6.6
25-34,CA$20k-CA$40k,10593.066247767261,34.5
25-34,CA$40k-CA$60k,5444.402279319238,17.7
25-34,CA$60k-CA$100k,4999.848897483838,16.3
25-34,Under CA$20k,7630.003117871514,24.8
35-44,CA$100k+,7481.3746132452025,14.6
35-44,CA$20k-CA$40k,15223.179391955371,29.8
35-44,CA$40k-CA$60k,10370.869693345987,20.3
35-44,CA$60k-CA$100k,10037.492200705703,19.7
35-44,Under CA$20k,7963.185030149269,15.6
45-54,CA$100k+,4999.819508280362,15.2
45-54,CA$20k-CA$40k,9370.731127601031,28.5
45-54,CA$40k-CA$60k,6074.251476709723,18.5
45-54,CA$60k-CA$100k,5666.536771729994,17.2
45-54,Under CA$20k,6740.906422600394,20.5
55-64,CA$100k+,2629.521155560328,9
55-64,CA$20k-CA$40k,9111.091715625409,31
55-64,CA$40k-CA$60k,4407.428498147518,15
55-64,CA$60k-CA$100k,4518.61792741663,15.4
55-64,Under CA$20k,8703.757300694686,29.6
65-74,CA$100k+,1148.1861635433047,6.3
65-74,CA$20k-CA$40k,6740.784198247896,37.2
65-74,CA$40k-CA$60k,2666.68859095199,14.7
65-74,CA$60k-CA$100k,1518.4846906479816,8.4
65-74,Under CA$20k,6037.055446968622,33.3
