year,iran_arrivals,source
1991,8143,Migrationsbericht 2005 Tabelle 16
1992,5842,Migrationsbericht 2005 Tabelle 16
1993,5942,Migrationsbericht 2015 Tabelle 1-7
1994,6585,Migrationsbericht 2015 Tabelle 1-7
1995,6846,Migrationsbericht 2015 Tabelle 1-7
1996,7815,Migrationsbericht 2015 Tabelle 1-7
1997,6300,Migrationsbericht 2015 Tabelle 1-7
1998,5547,Migrationsbericht 2015 Tabelle 1-7
1999,5968,Migrationsbericht 2015 Tabelle 1-7
2000,7629,Migrationsbericht 2015 Tabelle 1-7
2001,6684,Migrationsbericht 2015 Tabelle 1-7
2002,6089,Migrationsbericht 2015 Tabelle 1-7
2003,4899,Migrationsbericht 2015 Tabelle 1-7
2004,4138,Migrationsbericht 2015 Tabelle 1-7
2005,3379,Migrationsbericht 2015 Tabelle 1-7
2006,3085,Migrationsbericht 2015 Tabelle 1-7
2007,2890,Migrationsbericht 2015 Tabelle 1-7
2008,3374,Migrationsbericht 2015 Tabelle 1-7
2009,4092,Migrationsbericht 2015 Tabelle 1-7
2010,5791,Migrationsbericht 2020 Tabelle 1-2
2011,7213,Migrationsbericht 2020 Tabelle 1-2
2012,8224,Migrationsbericht 2020 Tabelle 1-2
2013,8016,Migrationsbericht 2020 Tabelle 1-2
2014,7199,Migrationsbericht 2020 Tabelle 1-2
2015,19414,Migrationsbericht 2020 Tabelle 1-2
2016,21056,Migrationsbericht 2020 Tabelle 1-2
2017,10246,Migrationsbericht 2020 Tabelle 1-2
2018,14520,Migrationsbericht 2020 Tabelle 1-2
2019,11880,Migrationsbericht 2020 Tabelle 1-2
2020,6604,Migrationsbericht 2020 Tabelle 1-2
2021,10653,Migrationsbericht 2023 Tabelle 1-2
2022,19288,Migrationsbericht 2023 Tabelle 1-2
2023,21102,Migrationsbericht 2023 Tabelle 1-2
