"year_band","value_k","suppressed","low_rel"
"Einbürgerungsjahr Eingebürgerte insgesamt",96,FALSE,FALSE
"vor 1970",NA,TRUE,FALSE
"1970-1979",NA,TRUE,FALSE
"1980-1989",NA,TRUE,FALSE
"1990-1999",14,FALSE,FALSE
"2000-2009",42,FALSE,FALSE
"2010",NA,TRUE,FALSE
"2011",NA,TRUE,FALSE
"2012",NA,TRUE,FALSE
"2013",NA,TRUE,FALSE
"2014",NA,TRUE,FALSE
"2015",NA,TRUE,FALSE
"2016",NA,TRUE,FALSE
"2017",NA,TRUE,FALSE
"2018",NA,TRUE,FALSE
"2019",NA,TRUE,FALSE
"2020",NA,TRUE,FALSE
"2021",NA,TRUE,FALSE
"2022",NA,TRUE,FALSE
"2023",8,FALSE,TRUE
"2024",NA,TRUE,FALSE
