"region_code","region_name","male","female","iran_born"
"03","Lombardia",3500,3789,7289
"01","Piemonte",2426,2182,4608
"12","Lazio",2085,2096,4181
"08","Emilia-Romagna",1495,1647,3142
"05","Veneto",1251,1281,2532
"09","Toscana",967,1023,1990
"07","Liguria",623,568,1191
"15","Campania",572,575,1147
"19","Sicilia",428,404,832
"04","Trentino-Alto Adige/Südtirol",420,366,786
"10","Umbria",317,285,602
"11","Marche",303,253,556
"06","Friuli-Venezia Giulia",255,216,471
"16","Puglia",259,151,410
"13","Abruzzo",198,159,357
"20","Sardegna",119,64,183
"18","Calabria",105,74,179
"17","Basilicata",22,18,40
"14","Molise",16,9,25
"02","Valle d'Aosta/Vallée d'Aoste",5,6,11
