"year","iran_households_k","iran_avg_income_k","iran_std_income_k","iran_med_wealth_k","iran_low_income_pct","nl_avg_income_k","nl_std_income_k","nl_med_wealth_k","nl_low_income_pct"
2011,15.5,25.1,18.5,0.1,29.4,36.6,25.6,31.8,6.9
2012,16.2,25.1,18.6,0.1,35.1,36.8,25.8,25.1,8
2013,17,25.2,18.8,0,38.7,37,25.9,17.2,8.9
2014,17.6,27,20.1,0,38.6,39,27.3,17.3,8.5
2015,18.2,27.3,20.4,0.2,35.9,38.6,27.1,20.9,8.2
2016,18.8,28.7,21.4,0.3,33.6,40.2,28.2,23.5,7.9
2017,19.5,29.8,22.3,0.6,32.3,41.6,29.2,30.2,7.9
2018,20.6,30.8,22.8,0.8,32,42.5,29.5,39.4,7.9
2019,21.7,33.5,24.8,1,29.9,45.7,31.6,52.4,7.5
2020,22.7,34.8,25.8,1.3,27.2,46.4,32.1,65.3,6.8
2021,23.7,37.2,27.4,1.9,25.5,48.5,33.6,88.4,6.3
2022,25.3,40.5,29.9,2.3,15.4,51.2,35.6,135.3,4.2
2023,27.6,44,32.6,2.9,10.9,57.6,40,134.6,3.6
2024,29.2,46.1,34,3.8,NA,60.2,41.9,135.5,NA
