"county_code","county_name","count"
"01","Stockholm county",32790
"14","Västra Götaland county",21302
"12","Skåne county",8972
"03","Uppsala county",4725
"19","Västmanland county",2703
"05","Östergötland county",2614
"18","Örebro county",1762
"06","Jönköping county",1586
"04","Södermanland county",1360
"24","Västerbotten county",1273
"17","Värmland county",1204
"21","Gävleborg county",1070
"13","Halland county",941
"20","Dalarna county",876
"07","Kronoberg county",868
"22","Västernorrland county",809
"25","Norrbotten county",769
"08","Kalmar county",727
"10","Blekinge county",383
"23","Jämtland county",242
"09","Gotland county",139
