"age_group","sex","count"
"0-4","Female",87
"0-4","Male",96
"5-9","Female",401
"5-9","Male",467
"10-14","Female",888
"10-14","Male",990
"15-19","Female",1152
"15-19","Male",1372
"20-24","Female",1467
"20-24","Male",2126
"25-29","Female",1994
"25-29","Male",2712
"30-34","Female",2751
"30-34","Male",2405
"35-39","Female",4936
"35-39","Male",4493
"40-44","Female",6409
"40-44","Male",6237
"45-49","Female",4215
"45-49","Male",3846
"50-54","Female",3386
"50-54","Male",2762
"55-59","Female",3628
"55-59","Male",3418
"60-64","Female",3882
"60-64","Male",5238
"65-69","Female",3068
"65-69","Male",4213
"70-74","Female",1822
"70-74","Male",2583
"75-79","Female",959
"75-79","Male",1218
"80-84","Female",476
"80-84","Male",534
"85-89","Female",293
"85-89","Male",261
"90-94","Female",155
"90-94","Male",86
"95+","Female",48
"95+","Male",18
