age,sex,count
1,Male,3
1,Female,5
2,Male,4
2,Female,6
3,Male,11
3,Female,6
4,Male,6
4,Female,6
5,Male,13
5,Female,16
6,Male,27
6,Female,20
7,Male,33
7,Female,33
8,Male,33
8,Female,32
9,Male,77
9,Female,62
10,Male,88
10,Female,73
11,Male,62
11,Female,61
12,Male,74
12,Female,65
13,Male,83
13,Female,62
14,Male,73
14,Female,71
15,Male,89
15,Female,82
16,Male,109
16,Female,74
17,Male,124
17,Female,74
18,Male,129
18,Female,86
19,Male,119
19,Female,78
20,Male,116
20,Female,60
21,Male,106
21,Female,83
22,Male,104
22,Female,66
23,Male,112
23,Female,95
24,Male,130
24,Female,108
25,Male,138
25,Female,119
26,Male,144
26,Female,116
27,Male,152
27,Female,113
28,Male,159
28,Female,125
29,Male,125
29,Female,117
30,Male,152
30,Female,141
31,Male,171
31,Female,164
32,Male,182
32,Female,178
33,Male,189
33,Female,188
34,Male,171
34,Female,217
35,Male,165
35,Female,211
36,Male,196
36,Female,196
37,Male,204
37,Female,200
38,Male,204
38,Female,233
39,Male,210
39,Female,230
40,Male,225
40,Female,248
41,Male,193
41,Female,214
42,Male,218
42,Female,244
43,Male,184
43,Female,219
44,Male,206
44,Female,192
45,Male,157
45,Female,159
46,Male,155
46,Female,157
47,Male,144
47,Female,130
48,Male,152
48,Female,126
49,Male,140
49,Female,119
50,Male,119
50,Female,114
51,Male,122
51,Female,101
52,Male,124
52,Female,92
53,Male,130
53,Female,89
54,Male,108
54,Female,106
55,Male,105
55,Female,106
56,Male,95
56,Female,108
57,Male,121
57,Female,79
58,Male,103
58,Female,97
59,Male,125
59,Female,115
60,Male,126
60,Female,92
61,Male,133
61,Female,112
62,Male,106
62,Female,108
63,Male,129
63,Female,103
64,Male,101
64,Female,89
65,Male,107
65,Female,82
66,Male,89
66,Female,83
67,Male,91
67,Female,61
68,Male,83
68,Female,83
69,Male,72
69,Female,65
70,Male,64
70,Female,63
71,Male,54
71,Female,63
72,Male,54
72,Female,52
73,Male,52
73,Female,61
74,Male,37
74,Female,45
75,Male,42
75,Female,50
76,Male,35
76,Female,41
77,Male,37
77,Female,29
78,Male,40
78,Female,23
79,Male,34
79,Female,38
80,Male,29
80,Female,26
81,Male,22
81,Female,24
82,Male,31
82,Female,30
83,Male,25
83,Female,25
84,Male,25
84,Female,26
85,Male,30
85,Female,19
86,Male,11
86,Female,10
87,Male,23
87,Female,6
88,Male,15
88,Female,23
89,Male,16
89,Female,3
90,Male,8
90,Female,6
91,Male,10
91,Female,5
92,Male,6
92,Female,8
93,Male,6
93,Female,1
94,Male,1
94,Female,3
95,Male,1
95,Female,3
96,Female,1
97,Male,2
98,Female,1
99,Female,1
100,Female,2
